common name,genus,species,code,num
Horned Lark,Eremophila,alpestris,HOLA,1
Hooded Merganser,Lophodytes,cucullatus,HOME,1
Hooded Oriole,Icterus,cucullatus,HOOR,1
Horned Puffin,Fratercula,corniculata,HOPU,1
Hoary Redpoll,Acanthis,hornemanni,HORE,2
House Sparrow,Passer,domesticus,HOSP,1
Hooded Warbler,Setophaga,citrina,HOWA,1
House Wren,Troglodytes,aedon,HOWR,1
Hudsonian Godwit,Limosa,haemastica,HUGO,1
Hutton's Vireo,Vireo,huttoni,HUVI,1
Hwamei,Garrulax,canorus,HWAM,2
Ivory-billed Woodpecker,Campephilus,principalis,IBWO,6
Iceland Gull,Larus,glaucoides,ICGU,1
Iiwi,Drepanis,coccinea,IIWI,2
Indigo Bunting,Passerina,cyanea,INBU,1
Inca Dove,Columbina,inca,INDO,1
Intermediate Egret,Ardea,intermedia,INEG,5
Island Canary,Serinus,canaria,ISCA,3
Island Scrub-Jay,Aphelocoma,insularis,ISSJ,2
Ivory Gull,Pagophila,eburnea,IVGU,3
Jabiru,Jabiru,mycteria,JABI,4
Japanese Bush-Warbler,Cettia,diphone,JABW,2
Jack Snipe,Lymnocryptes,minimus,JASN,4
Java Sparrow,Lonchura,oryzivora,JASP,2
Japanese White-eye,Zosterops,japonicus,JAWE,2
Juan Fernandez Petrel,Pterodroma,externa,JFPE,3
Jouanin's Petrel,Bulweria,fallax,JOPE,5
Juniper Titmouse,Baeolophus,ridgwayi,JUTI,1
Kauai Akialoa,Akialoa,stejnegeri,KAAK,6
Kauai Amakihi,Chlorodrepanis,stejnegeri,KAAM,2
Kauai Elepaio,Chasiempis,sclateri,KAEL,2
Kakawahie,Paroreomyza,flammea,KAKA,6
Kamao,Myadestes,myadestinus,KAMA,6
Kauai Nukupuu,Hemignathus,hanapepe,KANU,6
Kauai Oo,Moho,braccatus,KAOO,6
Kalij Pheasant,Lophura,leucomelanos,KAPH,2
Kelp Gull,Larus,dominicanus,KEGU,4
Kermadec Petrel,Pterodroma,neglecta,KEPE,4
Kentucky Warbler,Geothlypis,formosa,KEWA,1
King Eider,Somateria,spectabilis,KIEI,2
Killdeer,Charadrius,vociferus,KILL,1
Kittlitz's Murrelet,Brachyramphus,brevirostris,KIMU,2
Kioea,Chaetoptila,angustipluma,KIOE,6
King Rail,Rallus,elegans,KIRA,1
Kirtland's Warbler,Setophaga,kirtlandii,KIWA,2
Kamchatka Leaf Warbler,Phylloscopus,examinandus,KLWA,5
Kona Grosbeak,Chloridops,kona,KOGR,6
Key West Quail-Dove,Geotrygon,chrysia,KWQD,4
Laysan Albatross,Phoebastria,immutabilis,LAAL,2
Labrador Duck,Camptorhynchus,labradorius,LABD,6
Laysan Finch,Telespiza,cantans,LAFI,3
Lawrence's Goldfinch,Spinus,lawrencei,LAGO,2
Laughing Gull,Leucophaeus,atricilla,LAGU,1
Lapland Longspur,Calcarius,lapponicus,LALO,1
Lanai Hookbill,Dysmorodrepanis,munroi,LANH,6
Lanceolated Warbler,Locustella,lanceolata,LANW,5
Laysan Rail,Zapornia,palmeri,LARA,6
Lark Bunting,Calamospiza,melanocorys,LARB,1
Lark Sparrow,Chondestes,grammacus,LASP,1
Laysan Duck,Anas,laysanensis,LAYD,3
Laysan Honeycreeper,Himatione,fraithii,LAYH,6
Lazuli Bunting,Passerina,amoena,LAZB,1
Lesser Black-backed Gull,Larus,fuscus,LBBG,2
Long-billed Curlew,Numenius,americanus,LBCU,1
Long-billed Dowitcher,Limnodromus,scolopaceus,LBDO,1
Little Blue Heron,Egretta,caerulea,LBHE,1
Long-billed Murrelet,Brachyramphus,perdix,LBMU,3
Large-billed Tern,Phaetusa,simplex,LBTE,5
Long-billed Thrasher,Toxostoma,longirostre,LBTH,2
Ladder-backed Woodpecker,Picoides,scalaris,LBWO,1
LeConte's Sparrow,Ammodramus,leconteii,LCSP,1
LeConte's Thrasher,Toxostoma,lecontei,LCTH,2
Lesser Akialoa,Akialoa,obscura,LEAK,6
Least Auklet,Aethia,pusilla,LEAU,2
Least Bittern,Ixobrychus,exilis,LEBI,1
Least Flycatcher,Empidonax,minimus,LEFL,1
Lesser Frigatebird,Fregata,ariel,LEFR,4
Lesser Goldfinch,Spinus,psaltria,LEGO,1
Least Grebe,Tachybaptus,dominicus,LEGR,2
Lesser Koa-Finch,Rhodacanthis,flaviceps,LEKF,6
Lesser Nighthawk,Chordeiles,acutipennis,LENI,1
Long-eared Owl,Asio,otus,LEOW,2
Lesser Prairie-Chicken,Tympanuchus,pallidicinctus,LEPC,2
Least Sandpiper,Calidris,minutilla,LESA,1
Lesser Scaup,Aythya,affinis,LESC,1
Leach's Storm-Petrel,Oceanodroma,leucorhoa,LESP,1
Least Tern,Sternula,antillarum,LETE,1
Lesser Whitethroat,Sylvia,curruca,LEWH,5
Lewis's Woodpecker,Melanerpes,lewis,LEWO,1
Lesser Yellowlegs,Tringa,flavipes,LEYE,1
Little Bunting,Emberiza,pusilla,LIBU,4
Little Curlew,Numenius,minutus,LICU,5
Little Egret,Egretta,garzetta,LIEG,4
Little Gull,Hydrocoloeus,minutus,LIGU,3
Limpkin,Aramus,guarauna,LIMP,2
Lincoln's Sparrow,Melospiza,lincolnii,LISP,1
Little Stint,Calidris,minuta,LIST,4
Little Tern,Sternula,albifrons,LITE,4
Light-mantled Albatross,Phoebetria,palpebrata,LMAL,5
Loggerhead Kingbird,Tyrannus,caudifasciatus,LOKI,5
Loggerhead Shrike,Lanius,ludovicianus,LOSH,1
Louisiana Waterthrush,Parkesia,motacilla,LOWA,1
Little Ringed Plover,Charadrius,dubius,LRPL,5
Lesser Sand-Plover,Charadrius,mongolus,LSAP,3
La Sagra's Flycatcher,Myiarchus,sagrae,LSFL,3
Least Storm-Petrel,Oceanodroma,microsoma,LSTP,3
Long-tailed Duck,Clangula,hyemalis,LTDU,1
Long-tailed Jaeger,Stercorarius,longicaudus,LTJA,1
Long-toed Stint,Calidris,subminuta,LTST,3
Lucifer Hummingbird,Calothorax,lucifer,LUHU,2
Lucy's Warbler,Oreothlypis,luciae,LUWA,1
Lesser White-fronted Goose,Anser,erythropus,LWFG,5
Maui Akepa,Loxops,ochraceus,MAAK,6
Maui Alauahio,Paroreomyza,montana,MAAL,2
Masked Booby,Sula,dactylatra,MABO,3
Mangrove Cuckoo,Coccyzus,minor,MACU,2
Masked Duck,Nomonyx,dominicus,MADU,3
Magnificent Frigatebird,Fregata,magnificens,MAFR,1
Marbled Godwit,Limosa,fedoa,MAGO,1
Mallard,Anas,platyrhynchos,MALL,1
Marbled Murrelet,Brachyramphus,marmoratus,MAMU,1
Mangrove Swallow,Tachycineta,albilinea,MANS,5
Maui Nukupuu,Hemignathus,affinis,MANU,6
Maui Parrotbill,Pseudonestor,xanthophrys,MAPA,3
Marsh Sandpiper,Tringa,stagnatilis,MASA,5
Manx Shearwater,Puffinus,puffinus,MASH,2
Mariana Swiftlet,Aerodramus,bartschi,MASW,3
Masked Tityra,Tityra,semifasciata,MATI,5
Magnolia Warbler,Setophaga,magnolia,MAWA,1
Marsh Wren,Cistothorus,palustris,MAWR,1
McCown's Longspur,Rhynchophanes,mccownii,MCLO,2
Mexican Chickadee,Poecile,sclateri,MECH,2
Mew Gull,Larus,canus,MEGU,1
Mexican Jay,Aphelocoma,wollweberi,MEJA,2
Merlin,Falco,columbarius,MERL,1
Mexican Violetear,Colibri,thalassinus,MEVI,3
MacGillivray's Warbler,Geothlypis,tolmiei,MGWA,1
Middendorff's Grasshopper-Warbler,Locustella,ochotensis,MIGW,4
Mississippi Kite,Ictinia,mississippiensis,MIKI,1
Millerbird,Acrocephalus,familiaris,MILL,3
McKay's Bunting,Plectrophenax,hyperboreus,MKBU,3
Maui-nui Akialoa,Akialoa,lanaiensis,MNAK,6
Mountain Bluebird,Sialia,currucoides,MOBL,1
Mountain Chickadee,Poecile,gambeli,MOCH,1
Mourning Dove,Zenaida,macroura,MODO,1
Mottled Duck,Anas,fulvigula,MODU,1
Montezuma Quail,Cyrtonyx,montezumae,MONQ,2
Mottled Owl,Ciccaba,virgata,MOOW,5
Monk Parakeet,Myiopsitta,monachus,MOPA,2
Mottled Petrel,Pterodroma,inexpectata,MOPE,2
Mountain Plover,Charadrius,montanus,MOPL,2
Mountain Quail,Oreortyx,pictus,MOUQ,1
Mourning Warbler,Geothlypis,philadelphia,MOWA,1
Muscovy Duck,Cairina,moschata,MUDU,2
Mugimaki Flycatcher,Ficedula,mugimaki,MUFL,5
Murphy's Petrel,Pterodroma,ultima,MUPE,3
Mute Swan,Cygnus,olor,MUSW,1
Mexican Whip-poor-will,Antrostomus,arizonae,MWPW,2
Nazca Booby,Sula,granti,NABO,4
Narcissus Flycatcher,Ficedula,narcissina,NAFL,5
Nanday Parakeet,Aratinga,nenday,NAPA,2
Nashville Warbler,Oreothlypis,ruficapilla,NAWA,1
Neotropic Cormorant,Phalacrocorax,brasilianus,NECO,1
Newell's Shearwater,Puffinus,newelli,NESH,3
Nelson's Sparrow,Ammodramus,nelsoni,NESP,1
Northern Hawk Owl,Surnia,ulula,NHOW,2
Nihoa Finch,Telespiza,ultima,NIFI,3
Northern Boobook,Ninox,japonica,NOBB,5
Northern Bobwhite,Colinus,virginianus,NOBO,1
Northern Beardless-Tyrannulet,Camptostoma,imberbe,NOBT,2
Northern Cardinal,Cardinalis,cardinalis,NOCA,1
Northwestern Crow,Corvus,caurinus,NOCR,1
Northern Flicker,Colaptes,auratus,NOFL,1
Northern Fulmar,Fulmarus,glacialis,NOFU,1
Northern Gannet,Morus,bassanus,NOGA,1
Northern Goshawk,Accipiter,gentilis,NOGO,1
Northern Harrier,Circus,hudsonius,NOHA,1
Northern Jacana,Jacana,spinosa,NOJA,4
Northern Lapwing,Vanellus,vanellus,NOLA,4
Northern Mockingbird,Mimus,polyglottos,NOMO,1
Northern Parula,Setophaga,americana,NOPA,1
Northern Pintail,Anas,acuta,NOPI,1
Northern Pygmy-Owl,Glaucidium,gnoma,NOPO,2
Northern Waterthrush,Parkesia,noveboracensis,NOWA,1
Northern Wheatear,Oenanthe,oenanthe,NOWH,2
Northern Rough-winged Swallow,Stelgidopteryx,serripennis,NRWS,1
Northern Shoveler,Spatula,clypeata,NSHO,1
Northern Shrike,Lanius,borealis,NSHR,1
Northern Saw-whet Owl,Aegolius,acadicus,NSWO,2
Nutting's Flycatcher,Myiarchus,nuttingi,NUFL,5
Nuttall's Woodpecker,Picoides,nuttallii,NUWO,1
Oahu Alauahio,Paroreomyza,maculata,OAAL,6
Oahu Amakihi,Chlorodrepanis,flava,OAAM,2
Oahu Elepaio,Chasiempis,ibidis,OAEL,3
Oahu Akepa,Loxops,wolstenholmei,OAKE,6
Oahu Akialoa,Akialoa,ellisiana,OAKI,6
Oahu Nukupuu,Hemignathus,lucidus,OANU,6
Oahu Oo,Moho,apicalis,OAOO,6
Oak Titmouse,Baeolophus,inornatus,OATI,1
Orange-billed Nightingale-Thrush,Catharus,aurantiirostris,OBNT,5
Olive-backed Pipit,Anthus,hodgsoni,OBPI,3
Orange-crowned Warbler,Oreothlypis,celata,OCWA,1
Olomao,Myadestes,lanaiensis,OLOM,6
Olive Sparrow,Arremonops,rufivirgatus,OLSP,2
Olive Warbler,Peucedramus,taeniatus,OLWA,2
Omao,Myadestes,obscurus,OMAO,2
Oriental Cuckoo,Cuculus,optatus,ORCU,4
Oriental Greenfinch,Chloris,sinica,ORGR,4
Orchard Oriole,Icterus,spurius,OROR,1
Oriental Pratincole,Glareola,maldivarum,ORPR,5
Oriental Scops-Owl,Otus,sunia,ORSO,5
Oriental Turtle-Dove,Streptopelia,orientalis,ORTD,4
Olive-sided Flycatcher,Contopus,cooperi,OSFL,1
Osprey,Pandion,haliaetus,OSPR,1
Ou,Psittirostra,psittacea,OU,6
Ovenbird,Seiurus,aurocapilla,OVEN,1
Parakeet Auklet,Aethia,psittacula,PAAU,2
Painted Bunting,Passerina,ciris,PABU,1
Pacific Golden-Plover,Pluvialis,fulva,PAGP,2
Parasitic Jaeger,Stercorarius,parasiticus,PAJA,1
Pallas's Bunting,Emberiza,pallasi,PALB,5
Palila,Loxioides,bailleui,PALI,3
Pacific Loon,Gavia,pacifica,PALO,1
Parkinson's Petrel,Procellaria,parkinsoni,PAPE,5
Passenger Pigeon,Ectopistes,migratorius,PAPI,6
Painted Redstart,Myioborus,pictus,PARE,2
Pallas's Rosefinch,Carpodacus,roseus,PARO,5
Palm Warbler,Setophaga,palmarum,PAWA,1
Pacific Wren,Troglodytes,pacificus,PAWR,1
Paint-billed Crake,Neocrex,erythrops,PBCR,5
Pied-billed Grebe,Podilymbus,podiceps,PBGR,1
Plain-capped Starthroat,Heliomaster,constantii,PCST,4
Pelagic Cormorant,Phalacrocorax,pelagicus,PECO,1
Peregrine Falcon,Falco,peregrinus,PEFA,1
Pechora Pipit,Anthus,gustavi,PEPI,4
Pectoral Sandpiper,Calidris,melanotos,PESA,1
Pink-footed Goose,Anser,brachyrhynchus,PFGO,4
Pink-footed Shearwater,Ardenna,creatopus,PFSH,1
Phainopepla,Phainopepla,nitens,PHAI,1
Philadelphia Vireo,Vireo,philadelphicus,PHVI,1
Pine Bunting,Emberiza,leucocephalos,PIBU,5
Pine Grosbeak,Pinicola,enucleator,PIGR,1
Pigeon Guillemot,Cepphus,columba,PIGU,1
Pinyon Jay,Gymnorhinus,cyanocephalus,PIJA,1
Pine Flycatcher,Empidonax,affinis,PINF,5
Piping Plover,Charadrius,melodus,PIPL,2
Piratic Flycatcher,Legatus,leucophaius,PIRF,4
Pine Siskin,Spinus,pinus,PISI,1
Pine Warbler,Setophaga,pinus,PIWA,1
Pileated Woodpecker,Dryocopus,pileatus,PIWO,1
Plain Chachalaca,Ortalis,vetula,PLCH,2
Pallas's Leaf Warbler,Phylloscopus,proregulus,PLEW,5
Plumbeous Vireo,Vireo,plumbeus,PLVI,1
Pomarine Jaeger,Stercorarius,pomarinus,POJA,1
Poo-uli,Melamprosops,phaeosoma,POUL,6
Prairie Warbler,Setophaga,discolor,PRAW,1
Prairie Falcon,Falco,mexicanus,PRFA,1
Prothonotary Warbler,Protonotaria,citrea,PROW,1
Providence Petrel,Pterodroma,solandri,PRPE,4
Pacific-slope Flycatcher,Empidonax,difficilis,PSFL,1
Pin-tailed Snipe,Gallinago,stenura,PTSN,5
Puaiohi,Myadestes,palmeri,PUAI,3
Purple Finch,Haemorhous,purpureus,PUFI,1
Purple Gallinule,Porphyrio,martinicus,PUGA,1
Purple Martin,Progne,subis,PUMA,1
Purple Sandpiper,Calidris,maritima,PUSA,1
Purple Swamphen,Porphyrio,porphyrio,PUSW,2
Pygmy Nuthatch,Sitta,pygmaea,PYNU,1
Pyrrhuloxia,Cardinalis,sinuatus,PYRR,1
Razorbill,Alca,torda,RAZO,1
Rose-breasted Grosbeak,Pheucticus,ludovicianus,RBGR,1
Ring-billed Gull,Larus,delawarensis,RBGU,1
Red-billed Leiothrix,Leiothrix,lutea,RBLE,2
Red-breasted Merganser,Mergus,serrator,RBME,1
Red-breasted Nuthatch,Sitta,canadensis,RBNU,1
Red-billed Pigeon,Patagioenas,flavirostris,RBPI,2
Rufous-backed Robin,Turdus,rufopalliatus,RBRO,3
Red-breasted Sapsucker,Sphyrapicus,ruber,RBSA,1
Red-billed Tropicbird,Phaethon,aethereus,RBTR,3
Red-bellied Woodpecker,Melanerpes,carolinus,RBWO,1
Red-crested Cardinal,Paroaria,coronata,RCCA,2
Ruby-crowned Kinglet,Regulus,calendula,RCKI,1
Red-crowned Parrot,Amazona,viridigenalis,RCPA,2
Rufous-crowned Sparrow,Aimophila,ruficeps,RCSP,1
Rufous-capped Warbler,Basileuterus,rufifrons,RCWA,3
Red-cockaded Woodpecker,Picoides,borealis,RCWO,2
Red Avadavat,Amandava,amandava,REAV,2
Reed Bunting,Emberiza,schoeniclus,REBU,4
Red Crossbill,Loxia,curvirostra,RECR,1
Redhead,Aythya,americana,REDH,1
Redwing,Turdus,iliacus,REDW,4
Reddish Egret,Egretta,rufescens,REEG,1
Red Junglefowl,Gallus,gallus,REJU,2
Red Knot,Calidris,canutus,REKN,1
Red Phalarope,Phalaropus,fulicarius,REPH,1
Red-eyed Vireo,Vireo,olivaceus,REVI,1
Red-flanked Bluetail,Tarsiger,cyanurus,RFBL,4
Red-footed Booby,Sula,sula,RFBO,2
Red-faced Cormorant,Phalacrocorax,urile,RFCO,2
Red-footed Falcon,Falco,vespertinus,RFFA,5
Rosy-faced Lovebird,Agapornis,roseicollis,RFLO,2
Red-faced Warbler,Cardellina,rubrifrons,RFWA,2
Rhinoceros Auklet,Cerorhinca,monocerata,RHAU,1
Red-headed Woodpecker,Melanerpes,erythrocephalus,RHWO,1
Rivoli's Hummingbird,Eugenes,fulgens,RIHU,2
Ringed Kingfisher,Megaceryle,torquata,RIKI,2
Ridgway's Rail,Rallus,obsoletus,RIRA,2
Ringed Storm-Petrel,Oceanodroma,hornbyi,RISP,5
Rough-legged Hawk,Buteo,lagopus,RLHA,1
Red-legged Honeycreeper,Cyanerpes,cyaneus,RLHO,5
Red-legged Kittiwake,Rissa,brevirostris,RLKI,2
Red-legged Thrush,Turdus,plumbeus,RLTH,5
Ring-necked Duck,Aythya,collaris,RNDU,1
Ring-necked Pheasant,Phasianus,colchicus,RNEP,1
Red-necked Grebe,Podiceps,grisegena,RNGR,1
Red-necked Phalarope,Phalaropus,lobatus,RNPH,1
Red-naped Sapsucker,Sphyrapicus,nuchalis,RNSA,1
Red-necked Stint,Calidris,ruficollis,RNST,3
Rufous-necked Wood-Rail,Aramides,axillaris,RNWR,5
Ross's Goose,Anser,rossii,ROGO,1
Ross's Gull,Rhodostethia,rosea,ROGU,3
Roadside Hawk,Rupornis,magnirostris,ROHA,4
Rock Pigeon,Columba,livia,ROPI,1
Rock Ptarmigan,Lagopus,muta,ROPT,2
Rock Sandpiper,Calidris,ptilocnemis,ROSA,2
Roseate Spoonbill,Platalea,ajaja,ROSP,1
Roseate Tern,Sterna,dougallii,ROST,2
Rock Wren,Salpinctes,obsoletus,ROWR,1
Royal Tern,Thalasseus,maximus,ROYT,1
Rose-ringed Parakeet,Psittacula,krameri,RRPA,2
Red-shouldered Hawk,Buteo,lineatus,RSHA,1
Rose-throated Becard,Pachyramphus,aglaiae,RTBE,3
Red-tailed Hawk,Buteo,jamaicensis,RTHA,1
Ruby-throated Hummingbird,Archilochus,colubris,RTHU,1
Red-throated Loon,Gavia,stellata,RTLO,1
Red-throated Pipit,Anthus,cervinus,RTPI,3
Rufous-tailed Robin,Luscinia,sibilans,RTRO,5
Red-tailed Tropicbird,Phaethon,rubricauda,RTTR,3
Rusty Blackbird,Euphagus,carolinus,RUBL,1
Rustic Bunting,Emberiza,rustica,RUBU,3
Ruddy Duck,Oxyura,jamaicensis,RUDU,1
Ruff,Calidris,pugnax,RUFF,3
Ruddy Ground-Dove,Columbina,talpacoti,RUGD,3
Ruffed Grouse,Bonasa,umbellus,RUGR,1
Rufous Hummingbird,Selasphorus,rufus,RUHU,1
Ruddy Quail-Dove,Geotrygon,montana,RUQD,5
Ruddy Turnstone,Arenaria,interpres,RUTU,1
Red-vented Bulbul,Pycnonotus,cafer,RVBU,2
Red-winged Blackbird,Agelaius,phoeniceus,RWBL,1
Red-whiskered Bulbul,Pycnonotus,jocosus,RWBU,2
Rufous-winged Sparrow,Peucaea,carpalis,RWSP,2
Salvin's Albatross,Thalassarche,salvini,SAAL,5
Sagebrush Sparrow,Artemisiospiza,nevadensis,SABS,1
Sandhill Crane,Antigone,canadensis,SACR,1
Saffron Finch,Sicalis,flaveola,SAFI,2
Sabine's Gull,Xema,sabini,SAGU,1
Saltmarsh Sparrow,Ammodramus,caudacutus,SALS,1
Sanderling,Calidris,alba,SAND,1
Say's Phoebe,Sayornis,saya,SAPH,1
Sandwich Tern,Thalasseus,sandvicensis,SATE,1
Sage Thrasher,Oreoscoptes,montanus,SATH,1
Savannah Sparrow,Passerculus,sandwichensis,SAVS,1
Smooth-billed Ani,Crotophaga,ani,SBAN,3
Streak-backed Oriole,Icterus,pustulatus,SBAO,4
Slender-billed Curlew,Numenius,tenuirostris,SBCU,6
Short-billed Dowitcher,Limnodromus,griseus,SBDO,1
Sulphur-bellied Flycatcher,Myiodynastes,luteiventris,SBFL,2
Slaty-backed Gull,Larus,schistisagus,SBGU,3
Scaly-breasted Munia,Lonchura,punctulata,SBMU,2
Spot-breasted Oriole,Icterus,pectoralis,SBOR,2
Siberian Blue Robin,Luscinia,cyane,SBRO,5
Spoon-billed Sandpiper,Calidris,pygmea,SBSA,4
Scarlet Ibis,Eudocimus,ruber,SCIB,5
Scripps's Murrelet,Synthliboramphus,scrippsi,SCMU,2
Scott's Oriole,Icterus,parisorum,SCOR,1
Scaled Quail,Callipepla,squamata,SCQU,1
Scarlet Tanager,Piranga,olivacea,SCTA,1
Short-eared Owl,Asio,flammeus,SEOW,1
Semipalmated Plover,Charadrius,semipalmatus,SEPL,1
Semipalmated Sandpiper,Calidris,pusilla,SESA,1
Seaside Sparrow,Ammodramus,maritimus,SESP,1
Sedge Warbler,Acrocephalus,schoenobaenus,SEWA,5
Sedge Wren,Cistothorus,platensis,SEWR,1
Shiny Cowbird,Molothrus,bonariensis,SHCO,3
Siberian Accentor,Prunella,montanella,SIAC,4
Siberian Rubythroat,Luscinia,calliope,SIRU,3
Sinaloa Wren,Thryophilus,sinaloa,SIWR,5
Smew,Mergellus,albellus,SMEW,3
Smith's Longspur,Calcarius,pictus,SMLO,2
Snow Bunting,Plectrophenax,nivalis,SNBU,1
Snowy Egret,Egretta,thula,SNEG,1
Snow Goose,Anser,caerulescens,SNGO,1
Snail Kite,Rostrhamus,sociabilis,SNKI,2
Snowy Owl,Bubo,scandiacus,SNOW,2
Scaly-naped Pigeon,Patagioenas,squamosa,SNPI,5
Snowy Plover,Charadrius,nivosus,SNPL,1
Social Flycatcher,Myiozetetes,similis,SOFL,5
Sooty Grouse,Dendragapus,fuliginosus,SOGR,2
Southern Martin,Progne,elegans,SOMA,5
Sora,Porzana,carolina,SORA,1
Solitary Sandpiper,Tringa,solitaria,SOSA,1
Sooty Shearwater,Ardenna,grisea,SOSH,1
Solitary Snipe,Gallinago,solitaria,SOSN,5
Song Sparrow,Melospiza,melodia,SOSP,1
Sooty Tern,Onychoprion,fuscatus,SOTE,2
Song Thrush,Turdus,philomelos,SOTH,5
Spotted Dove,Streptopelia,chinensis,SPDO,2
Spectacled Eider,Somateria,fischeri,SPEI,3
Spotted Flycatcher,Muscicapa,striata,SPFL,5
Spruce Grouse,Falcipennis,canadensis,SPGR,2
Spotted Owl,Strix,occidentalis,SPOW,2
Sprague's Pipit,Anthus,spragueii,SPPI,2
Spotted Rail,Pardirallus,maculatus,SPRA,5
Spotted Redshank,Tringa,erythropus,SPRE,4
Spotted Sandpiper,Actitis,macularius,SPSA,1
South Polar Skua,Stercorarius,maccormicki,SPSK,2
Spotted Towhee,Pipilo,maculatus,SPTO,1
Sharp-tailed Sandpiper,Calidris,acuminata,SPTS,3
Short-tailed Shearwater,Ardenna,tenuirostris,SRTS,2
Sharp-shinned Hawk,Accipiter,striatus,SSHA,1
Swinhoe's Storm-Petrel,Oceanodroma,monorhis,SSTP,5
Short-tailed Albatross,Phoebastria,albatrus,STAL,3
Steller's Eider,Polysticta,stelleri,STEI,3
Scissor-tailed Flycatcher,Tyrannus,forficatus,STFL,1
Sharp-tailed Grouse,Tympanuchus,phasianellus,STGR,2
Swallow-tailed Gull,Creagrus,furcatus,STGU,5
Short-tailed Hawk,Buteo,brachyurus,STHA,2
Steller's Jay,Cyanocitta,stelleri,STJA,1
Swallow-tailed Kite,Elanoides,forficatus,STKI,1
Stonechat,Saxicola,torquatus,STON,4
Stygian Owl,Asio,stygius,STOW,5
Stejneger's Petrel,Pterodroma,longirostris,STPE,4
Slate-throated Redstart,Myioborus,miniatus,STRE,4
Streaked Shearwater,Calonectris,leucomelas,STRS,4
Stilt Sandpiper,Calidris,himantopus,STSA,1
Steller's Sea-Eagle,Haliaeetus,pelagicus,STSE,4
Sungrebe,Heliornis,fulica,SUNG,5
Surfbird,Calidris,virgata,SURF,1
Surf Scoter,Melanitta,perspicillata,SUSC,1
Summer Tanager,Piranga,rubra,SUTA,1
Swainson's Hawk,Buteo,swainsoni,SWHA,1
Swamp Sparrow,Melospiza,georgiana,SWSP,1
Swainson's Thrush,Catharus,ustulatus,SWTH,1
Swainson's Warbler,Limnothlypis,swainsonii,SWWA,2
Taiga Bean-Goose,Anser,fabalis,TABG,3
Tamaulipas Crow,Corvus,imparatus,TACR,4
Taiga Flycatcher,Ficedula,albicilla,TAFL,4
Tahiti Petrel,Pterodroma,rostrata,TAPE,5
Thick-billed Kingbird,Tyrannus,crassirostris,TBKI,2
Thick-billed Murre,Uria,lomvia,TBMU,1
Thick-billed Parrot,Rhynchopsitta,pachyrhyncha,TBPA,6
Thick-billed Vireo,Vireo,crassirostris,TBVI,4
Terek Sandpiper,Xenus,cinereus,TESA,3
Temminck's Stint,Calidris,temminckii,TEST,3
Tennessee Warbler,Oreothlypis,peregrina,TEWA,1
Townsend's Solitaire,Myadestes,townsendi,TOSO,1
Townsend's Storm-Petrel,Oceanodroma,socorroensis,TOSP,3
Townsend's Warbler,Setophaga,townsendi,TOWA,1
Tricolored Blackbird,Agelaius,tricolor,TRBL,2
Tree Swallow,Tachycineta,bicolor,TRES,1
Tricolored Heron,Egretta,tricolor,TRHE,1
Tropical Kingbird,Tyrannus,melancholicus,TRKI,2
Tropical Parula,Setophaga,pitiayumi,TRPA,3
Trindade Petrel,Pterodroma,arminjoniana,TRPE,3
Tree Pipit,Anthus,trivialis,TRPI,5
Tristram's Storm-Petrel,Oceanodroma,tristrami,TRSP,3
Trumpeter Swan,Cygnus,buccinator,TRUS,1
Tawny-shouldered Blackbird,Agelaius,humeralis,TSBL,5
Tundra Bean-Goose,Anser,serrirostris,TUBG,3
Tufted Duck,Aythya,fuligula,TUDU,3
Tufted Flycatcher,Mitrephanes,phaeocercus,TUFL,4
Tufted Puffin,Fratercula,cirrhata,TUPU,1
Tundra Swan,Cygnus,columbianus,TUSW,1
Tufted Titmouse,Baeolophus,bicolor,TUTI,1
Turkey Vulture,Cathartes,aura,TUVU,1
Ula-ai-hawane,Ciridops,anna,UAIH,6
Upland Sandpiper,Bartramia,longicauda,UPSA,1
Varied Bunting,Passerina,versicolor,VABU,2
Variegated Flycatcher,Empidonomus,varius,VAFL,5
Vaux's Swift,Chaetura,vauxi,VASW,1
Varied Thrush,Ixoreus,naevius,VATH,1
Violet-crowned Hummingbird,Amazilia,violiceps,VCHU,2
Veery,Catharus,fuscescens,VEER,1
Vermilion Flycatcher,Pyrocephalus,rubinus,VEFL,1
Verdin,Auriparus,flaviceps,VERD,1
Vesper Sparrow,Pooecetes,gramineus,VESP,1
Violet-green Swallow,Tachycineta,thalassina,VGSW,1
Virginia Rail,Rallus,limicola,VIRA,1
Virginia's Warbler,Oreothlypis,virginiae,VIWA,1
Wandering Albatross,Diomedea,exulans,WAAL,5
Wandering Tattler,Tringa,incana,WATA,1
Warbling Vireo,Vireo,gilvus,WAVI,1
White-breasted Nuthatch,Sitta,carolinensis,WBNU,1
White-capped Albatross,Thalassarche,cauta,WCAL,4
White-crested Elaenia,Elaenia,albiceps,WCEL,5
White-cheeked Pintail,Anas,bahamensis,WCHP,4
White-chinned Petrel,Procellaria,aequinoctialis,WCPE,5
White-crowned Pigeon,Patagioenas,leucocephala,WCPI,2
White-collared Seedeater,Sporophila,torqueola,WCSE,3
White-crowned Sparrow,Zonotrichia,leucophrys,WCSP,1
White-collared Swift,Streptoprocne,zonaris,WCSW,4
Western Bluebird,Sialia,mexicana,WEBL,1
