common name,genus,species,code,num
Black-headed Gull,Chroicocephalus,ridibundus,BHGU,3
Black-headed Nightingale-Thrush,Catharus,mexicanus,BHNT,5
Brown-headed Nuthatch,Sitta,pusilla,BHNU,1
Blue-headed Vireo,Vireo,solitarius,BHVI,1
Bishop's Oo,Moho,bishopi,BIOO,6
Bicknell's Thrush,Catharus,bicknelli,BITH,2
Black Kite,Milvus,migrans,BLAK,5
Blue Bunting,Cyanocompsa,parellina,BLBU,4
Blackburnian Warbler,Setophaga,fusca,BLBW,1
Black Francolin,Francolinus,francolinus,BLFR,2
Blue Grosbeak,Passerina,caerulea,BLGR,1
Black Guillemot,Cepphus,grylle,BLGU,1
Blue Jay,Cyanocitta,cristata,BLJA,1
Black-legged Kittiwake,Rissa,tridactyla,BLKI,1
Black Mamo,Drepanis,funerea,BLMA,6
Blue Mockingbird,Melanotis,caerulescens,BLMO,5
Black Noddy,Anous,minutus,BLNO,2
Black Oystercatcher,Haematopus,bachmani,BLOY,1
Black Phoebe,Sayornis,nigricans,BLPH,1
Blackpoll Warbler,Setophaga,striata,BLPW,1
Black Rail,Laterallus,jamaicensis,BLRA,2
Black Rosy-Finch,Leucosticte,atrata,BLRF,2
Black Scoter,Melanitta,americana,BLSC,1
Black Skimmer,Rynchops,niger,BLSK,1
Black Storm-Petrel,Oceanodroma,melania,BLSP,2
Black Swift,Cypseloides,niger,BLSW,2
Black Tern,Chlidonias,niger,BLTE,1
Black-tailed Godwit,Limosa,limosa,BLTG,3
Black Turnstone,Arenaria,melanocephala,BLTU,1
Bluethroat,Luscinia,svecica,BLUE,2
Black Vulture,Coragyps,atratus,BLVU,1
Black-necked Stilt,Himantopus,mexicanus,BNST,1
Bobolink,Dolichonyx,oryzivorus,BOBO,1
Boreal Chickadee,Poecile,hudsonicus,BOCH,1
Bonaparte's Gull,Chroicocephalus,philadelphia,BOGU,1
Boreal Owl,Aegolius,funereus,BOOW,2
Bonin Petrel,Pterodroma,hypoleuca,BOPE,3
Botteri's Sparrow,Peucaea,botterii,BOSP,2
Bohemian Waxwing,Bombycilla,garrulus,BOWA,2
Brandt's Cormorant,Phalacrocorax,penicillatus,BRAC,1
Brambling,Fringilla,montifringilla,BRAM,3
Brant,Branta,bernicla,BRAN,1
Brewer's Blackbird,Euphagus,cyanocephalus,BRBL,1
Brown Booby,Sula,leucogaster,BRBO,2
Brown Creeper,Certhia,americana,BRCR,1
Blyth's Reed Warbler,Acrocephalus,dumetorum,BREW,5
Brown Jay,Psilorhinus,morio,BRJA,4
Brown Noddy,Anous,stolidus,BRNO,2
Bronzed Cowbird,Molothrus,aeneus,BROC,1
Brown Shrike,Lanius,cristatus,BROS,4
Brown Pelican,Pelecanus,occidentalis,BRPE,1
Brewer's Sparrow,Spizella,breweri,BRSP,1
Bridled Tern,Onychoprion,anaethetus,BRTE,2
Brown Thrasher,Toxostoma,rufum,BRTH,1
Bridled Titmouse,Baeolophus,wollweberi,BRTI,2
Bryan's Shearwater,Puffinus,bryani,BRYS,5
Band-rumped Storm-Petrel,Oceanodroma,castro,BSTP,2
Broad-tailed Hummingbird,Selasphorus,platycercus,BTAH,1
Black-throated Blue Warbler,Setophaga,caerulescens,BTBW,1
Bristle-thighed Curlew,Numenius,tahitiensis,BTCU,3
Black-tailed Gnatcatcher,Polioptila,melanura,BTGN,1
Bar-tailed Godwit,Limosa,lapponica,BTGO,2
Boat-tailed Grackle,Quiscalus,major,BTGR,1
Black-tailed Gull,Larus,crassirostris,BTGU,4
Blue-throated Hummingbird,Lampornis,clemenciae,BTHH,2
Black-throated Green Warbler,Setophaga,virens,BTNW,1
Band-tailed Pigeon,Patagioenas,fasciata,BTPI,1
Black-throated Sparrow,Amphispiza,bilineata,BTSP,1
Bare-throated Tiger-Heron,Tigrisoma,mexicanum,BTTH,5
Black-throated Gray Warbler,Setophaga,nigrescens,BTYW,1
Bufflehead,Bucephala,albeola,BUFF,1
Bumblebee Hummingbird,Atthis,heloisa,BUHU,5
Buller's Shearwater,Ardenna,bulleri,BULS,2
Bullock's Oriole,Icterus,bullockii,BUOR,1
Burrowing Owl,Athene,cunicularia,BUOW,1
Bulwer's Petrel,Bulweria,bulwerii,BUPE,3
Bushtit,Psaltriparus,minimus,BUSH,1
Black-vented Oriole,Icterus,wagleri,BVOR,5
Black-vented Shearwater,Puffinus,opisthomelas,BVSH,2
Broad-winged Hawk,Buteo,platypterus,BWHA,1
Black-winged Petrel,Pterodroma,nigripennis,BWPE,3
Black-winged Stilt,Himantopus,himantopus,BWST,5
Blue-winged Teal,Spatula,discors,BWTE,1
Black-whiskered Vireo,Vireo,altiloquus,BWVI,2
Blue-winged Warbler,Vermivora,cyanoptera,BWWA,1
Cassin's Auklet,Ptychoramphus,aleuticus,CAAU,1
Cackling Goose,Branta,hutchinsii,CACG,1
Carolina Chickadee,Poecile,carolinensis,CACH,1
California Condor,Gymnogyps,californianus,CACO,2
Cassia Crossbill,Loxia,sinesciuris,CACR,2
Cactus Wren,Campylorhynchus,brunneicapillus,CACW,1
Cattle Egret,Bubulcus,ibis,CAEG,1
Cassin's Finch,Haemorhous,cassinii,CAFI,1
California Gnatcatcher,Polioptila,californica,CAGN,2
California Gull,Larus,californicus,CAGU,1
Calliope Hummingbird,Selasphorus,calliope,CAHU,1
Cassin's Kingbird,Tyrannus,vociferans,CAKI,1
California Towhee,Melozone,crissalis,CALT,1
Canada Goose,Branta,canadensis,CANG,1
Canyon Towhee,Melozone,fusca,CANT,1
Canvasback,Aythya,valisineria,CANV,1
Canyon Wren,Catherpes,mexicanus,CANW,1
Carolina Parakeet,Conuropsis,carolinensis,CAPA,6
California Quail,Callipepla,californica,CAQU,1
Carolina Wren,Thryothorus,ludovicianus,CARW,1
California Scrub-Jay,Aphelocoma,californica,CASJ,1
